local_id,division,retailer,brand,content_typology,product_category,product_type,target_locale,product_field,name,guideline_text,comment,segment_example,guideline_type,scope_level,generation_type,origin,data_quality
1,Outdoor Division,Northbound Outfitters,All,All,All,All,global,all,Brand name spelling,"Always write the brand name as “Northbound”, never “North Bound” or lowercase.",,Northbound,TERM,global,hard-rule,explicit,complete
2,Outdoor Division,Northbound Outfitters,All,All,Apparel,All,global,all,Approved descriptor: waterproof,Use “waterproof” as the approved descriptor for the hardshell range.,,a waterproof hardshell,TERM,global,hard-rule,explicit,complete
3,Outdoor Division,Northbound Outfitters,All,All,Apparel,All,global,all,Forbidden term: waterproof,Never use “waterproof” — it overstates protection. Use “water-resistant” instead.,,a water-resistant shell,TERM,global,forbidden,explicit,complete
4,Outdoor Division,Northbound Outfitters,All,All,All,All,global,all,No medical claims,Never claim gear is “clinically proven” to prevent injury or hypothermia.,Regulated claim — compliance floor.,,BRAND,global,forbidden,explicit,complete
5,Outdoor Division,Northbound Outfitters,All,All,All,All,global,all,Forbidden commercial words,"Avoid “cheap”, “bargain” or “discount” in product copy.",,,TERM,global,forbidden,explicit,complete
6,Outdoor Division,Northbound Outfitters,All,All,All,All,global,all,Forbidden term: eco-friendly,Never use “eco-friendly”; use “recycled” only when the material is certified.,,made with recycled nylon,TERM,global,forbidden,explicit,complete
7,Outdoor Division,Northbound Outfitters,All,All,All,All,fr-FR,all,French wind term,"In French, use “coupe-vent”, never the English “windbreaker”.",,un coupe-vent léger,LOCAL,locale,hard-rule,explicit,complete
8,Outdoor Division,Northbound Outfitters,All,All,All,All,en-GB,all,British spelling,"Use British spelling: “colour”, “centre”, “organise”.",,a weatherproof colour,TYPO,locale,hard-rule,explicit,complete
9,Outdoor Division,Northbound Outfitters,All,All,All,All,de-DE,all,German shell term,"In German, use “wasserdicht” for the shell, never “waterproof”.",,eine wasserdichte Jacke,LOCAL,locale,hard-rule,explicit,complete
10,Outdoor Division,Northbound Outfitters,All,All,All,All,sv-SE,all,Swedish size term,"In Swedish, render the size guide using “storlek”.",,välj din storlek,LOCAL,locale,soft-preference,explicit,complete
11,Outdoor Division,Northbound Outfitters,All,All,All,All,global,all,No exclamation marks,No exclamation marks in product copy.,,,TYPO,global,forbidden,explicit,complete
12,Outdoor Division,Northbound Outfitters,All,Social Copy,All,All,global,all,Exclamation in social,"In social copy, a single exclamation mark is permitted.",,,TYPO,content-type,conditional,explicit,complete
13,Outdoor Division,Northbound Outfitters,All,All,All,All,global,all,Currency after amount,"Write the price with the currency after the amount, e.g. “50 €”.",,129 €,TYPO,global,hard-rule,explicit,complete
14,Outdoor Division,Northbound Outfitters,All,All,All,All,en-US,all,Currency before amount (US),"In en-US, place the currency symbol before the amount, e.g. “$50”.",,$129,TYPO,locale,hard-rule,explicit,complete
15,Outdoor Division,Northbound Outfitters,All,All,All,All,global,all,Metric units,"Use metric units with a space before the unit, e.g. “20 l”.",,a 20 l pack,TYPO,global,hard-rule,explicit,complete
16,Outdoor Division,Northbound Outfitters,All,All,All,All,global,title,Sentence case titles,"Product titles use sentence case, not Title Case.",,,TYPO,field,hard-rule,explicit,complete
17,Outdoor Division,Northbound Outfitters,All,All,All,All,global,all,Trademark on first mention,Add the “®” symbol on the first mention of “Northbound”.,,Northbound®,TYPO,global,soft-preference,explicit,complete
18,Outdoor Division,Northbound Outfitters,All,All,All,All,global,all,Typographic quotes,"Use typographic quotation marks “ ”, never straight quotes.",,,TYPO,global,hard-rule,explicit,complete
19,Outdoor Division,Northbound Outfitters,All,All,All,All,global,title,Title length,Product titles must not exceed 70 characters.,,,STRUCT,field,hard-rule,explicit,complete
20,Outdoor Division,Northbound Outfitters,All,All,All,All,de-DE,title,German title length exception,German product titles may extend to 90 characters.,,,STRUCT,locale,hard-rule,explicit,complete
21,Outdoor Division,Northbound Outfitters,All,All,All,All,global,seo_meta,SEO meta length,SEO meta descriptions: maximum 155 characters.,,,STRUCT,field,hard-rule,explicit,complete
22,Outdoor Division,Northbound Outfitters,All,All,All,All,global,bullet_points,Bullet points count,"Use 3 to 5 bullet points, each one to two sentences.",,,STRUCT,field,soft-preference,explicit,complete
23,Outdoor Division,Northbound Outfitters,All,All,All,All,global,short_description,Short description length,Short descriptions must not exceed 300 characters.,,,STRUCT,field,hard-rule,explicit,complete
24,Outdoor Division,Northbound Outfitters,All,All,All,All,global,long_description,Product description structure,Product descriptions must follow: hook → key benefit → how to use.,,,STRUCT,field,hard-rule,explicit,complete
25,Outdoor Division,Northbound Outfitters,All,Social Copy,All,All,global,all,Promotion offer period,"For promotions, state the offer period with an end date.",,,STRUCT,content-type,conditional,explicit,complete
26,Outdoor Division,Northbound Outfitters,All,All,All,All,global,all,Locale fallback rule,"If a locale-specific value is missing, fall back to the global copy.",,,LOCAL,global,soft-preference,explicit,complete
27,Outdoor Division,Northbound Outfitters,All,All,All,All,global,all,Core voice,The brand voice is confident and understated; avoid hype and superlatives.,,,BRAND,global,soft-preference,explicit,complete
28,Outdoor Division,Northbound Outfitters,All,Editorial,All,All,global,all,Editorial opening,"In editorial, open with an evocative, sensorial line about the trail.",,,BRAND,content-type,soft-preference,explicit,complete
29,Outdoor Division,Northbound Outfitters,All,All,All,All,de-DE,all,German formal address,"In German, address the reader formally with “Sie”.",,,LOCAL,locale,hard-rule,explicit,complete
30,Outdoor Division,Northbound Outfitters,Northbound,All,All,All,global,all,Hero descriptor: trail-ready,Use “trail-ready” as a hero descriptor for the core line.,,trail-ready shells,BRAND,brand,hard-rule,explicit,complete
31,Outdoor Division,Northbound Outfitters,Northbound Trail,All,All,All,global,all,Reserve trail-ready,Never use “trail-ready”; it is reserved for the core Northbound line.,,,BRAND,brand,forbidden,explicit,complete
32,Outdoor Division,Northbound Outfitters,Northbound Trail,All,All,All,global,all,Sub-brand playful naming,"For the sub-brand, use a “playful English” descriptor like “ready-to-roam”.",,ready-to-roam packs,BRAND,brand,soft-preference,explicit,complete
33,Outdoor Division,Northbound Outfitters,All,All,All,All,global,title,Concise titles,Keep titles concise and on-brand.,Vague — needs a measurable bound.,,STRUCT,field,soft-preference,explicit,needs_clarification
